epoch, batchidx, datapoint_index
001,001,1457
001,001,789
001,001,812
001,001,1198
001,001,698
001,001,697
001,001,522
001,001,955
001,001,961
001,001,081
001,001,1024
001,001,1194
001,001,1489
001,001,1330
001,001,157
001,001,176
001,001,179
001,001,1226
001,001,368
001,001,281
001,001,011
001,001,583
001,001,952
001,001,1078
001,001,909
001,001,1147
001,001,1168
001,001,673
001,001,682
001,001,074
001,001,1188
001,001,051
001,001,1174
001,001,016
001,001,409
001,001,259
001,001,623
001,001,042
001,001,1148
001,001,1499
001,001,1081
001,001,1448
001,001,1257
001,001,1561
001,001,1300
001,001,505
001,001,174
001,001,161
001,001,028
001,001,1460
001,001,1027
001,001,345
001,001,228
001,001,933
001,001,1323
001,001,618
001,001,310
001,001,1288
001,001,178
001,001,864
001,001,996
001,001,923
001,001,068
001,001,1420
001,001,186
001,001,1335
001,001,1112
001,001,985
001,001,095
001,001,502
001,001,840
001,001,1463
001,001,761
001,001,1575
001,001,057
001,001,1070
001,001,494
001,001,484
001,001,360
001,001,808
001,001,1274
001,001,1426
001,001,1588
001,001,036
001,001,1186
001,001,943
001,001,554
001,001,922
001,001,829
001,001,879
001,001,105
001,001,608
001,001,115
001,001,739
001,001,877
001,001,468
001,001,546
001,001,628
001,001,296
001,001,572
001,002,029
001,002,546
001,002,434
001,002,493
001,002,800
001,002,1089
001,002,538
001,002,1166
001,002,877
001,002,038
001,002,940
001,002,1327
001,002,680
001,002,1038
001,002,1099
001,002,527
001,002,1139
001,002,621
001,002,594
001,002,1256
001,002,598
001,002,187
001,002,921
001,002,1018
001,002,1034
001,002,1271
001,002,894
001,002,020
001,002,146
001,002,1154
001,002,1456
001,002,109
001,002,106
001,002,402
001,002,475
001,002,725
001,002,1010
001,002,502
001,002,273
001,002,1033
001,002,729
001,002,1060
001,002,498
001,002,869
001,002,454
001,002,043
001,002,690
001,002,078
001,002,440
001,002,512
001,002,103
001,002,1294
001,002,316
001,002,139
001,002,1073
001,002,646
001,002,411
001,002,199
001,002,372
001,002,008
001,002,724
001,002,202
001,002,848
001,002,134
001,002,1149
001,002,1180
001,002,1404
001,002,047
001,002,300
001,002,782
001,002,841
001,002,481
001,002,1483
001,002,210
001,002,899
001,002,803
001,002,607
001,002,741
001,002,1077
001,002,555
001,002,1120
001,002,808
001,002,024
001,002,1301
001,002,420
001,002,828
001,002,1476
001,002,291
001,002,230
001,002,851
001,002,836
001,002,1302
001,002,1040
001,002,611
001,002,805
001,002,834
001,002,014
001,002,132
001,002,252
001,002,1458
001,003,1345
001,003,1135
001,003,467
001,003,932
001,003,754
001,003,461
001,003,558
001,003,240
001,003,1326
001,003,1271
001,003,1093
001,003,1273
001,003,850
001,003,945
001,003,337
001,003,797
001,003,267
001,003,1049
001,003,109
001,003,1171
001,003,1232
001,003,1046
001,003,457
001,003,058
001,003,906
001,003,445
001,003,1353
001,003,1166
001,003,1240
001,003,793
001,003,903
001,003,1291
001,003,1155
001,003,742
001,003,388
001,003,606
001,003,1230
001,003,057
001,003,310
001,003,632
001,003,1309
001,003,1381
001,003,417
001,003,799
001,003,596
001,003,911
001,003,204
001,003,1354
001,003,1394
001,003,339
001,003,1235
001,003,260
001,003,230
001,003,658
001,003,835
001,003,1055
001,003,135
001,003,602
001,003,117
001,003,1163
001,003,191
001,003,698
001,003,595
001,003,1169
001,003,633
001,003,1322
001,003,063
001,003,1193
001,003,163
001,003,1090
001,003,296
001,003,1305
001,003,1348
001,003,410
001,003,714
001,003,515
001,003,162
001,003,1030
001,003,638
001,003,1216
001,003,424
001,003,196
001,003,432
001,003,389
001,003,666
001,003,203
001,003,321
001,003,171
001,003,627
001,003,781
001,003,1056
001,003,1182
001,003,175
001,003,084
001,003,227
001,003,543
001,003,1015
001,003,798
001,003,708
001,003,927
001,004,489
001,004,464
001,004,076
001,004,483
001,004,1056
001,004,831
001,004,251
001,004,605
001,004,1283
001,004,215
001,004,171
001,004,1265
001,004,1113
001,004,025
001,004,848
001,004,274
001,004,589
001,004,1108
001,004,260
001,004,054
001,004,1269
001,004,679
001,004,782
001,004,1059
001,004,764
001,004,149
001,004,952
001,004,827
001,004,1166
001,004,142
001,004,887
001,004,078
001,004,830
001,004,721
001,004,043
001,004,1175
001,004,455
001,004,110
001,004,1139
001,004,120
001,004,1021
001,004,181
001,004,581
001,004,585
001,004,641
001,004,112
001,004,131
001,004,1051
001,004,908
001,004,855
001,004,601
001,004,1236
001,004,301
001,004,469
001,004,1168
001,004,221
001,004,535
001,004,882
001,004,466
001,004,843
001,004,972
001,004,596
001,004,358
001,004,417
001,004,235
001,004,377
001,004,725
001,004,845
001,004,1205
001,004,1090
001,004,1119
001,004,1292
001,004,1210
001,004,475
001,004,503
001,004,1111
001,004,865
001,004,226
001,004,712
001,004,564
001,004,826
001,004,538
001,004,336
001,004,384
001,004,331
001,004,294
001,004,993
001,004,529
001,004,1033
001,004,1089
001,004,731
001,004,145
001,004,584
001,004,593
001,004,1184
001,004,834
001,004,565
001,004,1277
001,004,243
001,004,710
001,005,273
001,005,127
001,005,925
001,005,233
001,005,446
001,005,628
001,005,027
001,005,1156
001,005,811
001,005,718
001,005,1008
001,005,1033
001,005,914
001,005,242
001,005,381
001,005,1067
001,005,772
001,005,870
001,005,762
001,005,1010
001,005,866
001,005,834
001,005,292
001,005,505
001,005,812
001,005,761
001,005,373
001,005,662
001,005,1021
001,005,844
001,005,119
001,005,947
001,005,775
001,005,066
001,005,991
001,005,323
001,005,167
001,005,645
001,005,122
001,005,133
001,005,068
001,005,046
001,005,1090
001,005,1047
001,005,1108
001,005,333
001,005,230
001,005,200
001,005,148
001,005,786
001,005,1155
001,005,802
001,005,736
001,005,489
001,005,1134
001,005,341
001,005,108
001,005,1077
001,005,871
001,005,285
001,005,393
001,005,057
001,005,915
001,005,268
001,005,442
001,005,482
001,005,144
001,005,396
001,005,223
001,005,688
001,005,1138
001,005,682
001,005,946
001,005,683
001,005,524
001,005,011
001,005,590
001,005,942
001,005,1186
001,005,111
001,005,194
001,005,1044
001,005,209
001,005,1176
001,005,839
001,005,1055
001,005,515
001,005,980
001,005,1149
001,005,548
001,005,627
001,005,490
001,005,751
001,005,150
001,005,1132
001,005,709
001,005,927
001,005,345
001,005,207
001,005,444
001,006,266
001,006,754
001,006,1039
001,006,799
001,006,1029
001,006,968
001,006,055
001,006,1036
001,006,103
001,006,485
001,006,857
001,006,662
001,006,082
001,006,803
001,006,481
001,006,1051
001,006,087
001,006,501
001,006,350
001,006,971
001,006,1047
001,006,699
001,006,893
001,006,277
001,006,068
001,006,682
001,006,761
001,006,162
001,006,022
001,006,556
001,006,964
001,006,344
001,006,758
001,006,404
001,006,263
001,006,099
001,006,1043
001,006,450
001,006,076
001,006,1062
001,006,118
001,006,879
001,006,273
001,006,1070
001,006,181
001,006,516
001,006,862
001,006,600
001,006,521
001,006,681
001,006,1075
001,006,953
001,006,869
001,006,135
001,006,696
001,006,389
001,006,295
001,006,737
001,006,358
001,006,337
001,006,421
001,006,656
001,006,947
001,006,301
001,006,395
001,006,830
001,006,176
001,006,1071
001,006,633
001,006,734
001,006,402
001,006,703
001,006,282
001,006,881
001,006,815
001,006,1085
001,006,788
001,006,563
001,006,721
001,006,509
001,006,314
001,006,687
001,006,364
001,006,383
001,006,219
001,006,995
001,006,388
001,006,1057
001,006,752
001,006,258
001,006,1020
001,006,780
001,006,057
001,006,017
001,006,791
001,006,466
001,006,281
001,006,054
001,006,629
001,006,515
001,007,912
001,007,558
001,007,075
001,007,823
001,007,880
001,007,351
001,007,592
001,007,691
001,007,137
001,007,326
001,007,274
001,007,671
001,007,557
001,007,359
001,007,640
001,007,510
001,007,543
001,007,535
001,007,815
001,007,180
001,007,198
001,007,088
001,007,993
001,007,171
001,007,327
001,007,561
001,007,920
001,007,772
001,007,457
001,007,035
001,007,250
001,007,337
001,007,730
001,007,741
001,007,952
001,007,707
001,007,689
001,007,948
001,007,636
001,007,279
001,007,643
001,007,723
001,007,536
001,007,784
001,007,795
001,007,718
001,007,282
001,007,596
001,007,801
001,007,680
001,007,989
001,007,429
001,007,465
001,007,526
001,007,474
001,007,868
001,007,609
001,007,062
001,007,517
001,007,766
001,007,218
001,007,284
001,007,820
001,007,321
001,007,533
001,007,588
001,007,139
001,007,342
001,007,751
001,007,829
001,007,455
001,007,760
001,007,608
001,007,963
001,007,633
001,007,400
001,007,278
001,007,087
001,007,150
001,007,503
001,007,072
001,007,268
001,007,964
001,007,311
001,007,540
001,007,215
001,007,325
001,007,534
001,007,877
001,007,149
001,007,008
001,007,047
001,007,454
001,007,281
001,007,412
001,007,132
001,007,992
001,007,589
001,007,318
001,007,711
001,008,612
001,008,114
001,008,656
001,008,277
001,008,386
001,008,101
001,008,124
001,008,585
001,008,672
001,008,361
001,008,439
001,008,209
001,008,211
001,008,835
001,008,354
001,008,560
001,008,167
001,008,806
001,008,346
001,008,865
001,008,442
001,008,121
001,008,794
001,008,304
001,008,039
001,008,644
001,008,687
001,008,314
001,008,214
001,008,645
001,008,600
001,008,317
001,008,892
001,008,311
001,008,495
001,008,561
001,008,154
001,008,019
001,008,590
001,008,088
001,008,558
001,008,879
001,008,430
001,008,898
001,008,323
001,008,139
001,008,216
001,008,496
001,008,771
001,008,757
001,008,272
001,008,163
001,008,098
001,008,143
001,008,804
001,008,032
001,008,516
001,008,568
001,008,802
001,008,062
001,008,521
001,008,258
001,008,347
001,008,120
001,008,791
001,008,060
001,008,337
001,008,465
001,008,799
001,008,540
001,008,266
001,008,198
001,008,030
001,008,119
001,008,629
001,008,297
001,008,618
001,008,158
001,008,276
001,008,303
001,008,245
001,008,526
001,008,037
001,008,092
001,008,699
001,008,281
001,008,736
001,008,219
001,008,538
001,008,488
001,008,193
001,008,552
001,008,718
001,008,108
001,008,588
001,008,697
001,008,456
001,008,885
001,008,727
001,008,642
001,009,788
001,009,302
001,009,619
001,009,033
001,009,055
001,009,740
001,009,555
001,009,647
001,009,796
001,009,379
001,009,102
001,009,512
001,009,006
001,009,794
001,009,550
001,009,133
001,009,151
